+0.0000000000e+00	+0.0000000000e+00	+1.0000000000e+00
+1.0000000000e-01	+0.0000000000e+00	+9.8986516686e-01
+2.0000000000e-01	+0.0000000000e+00	+9.6055390781e-01
+3.0000000000e-01	+0.0000000000e+00	+9.1370043379e-01
+4.0000000000e-01	+0.0000000000e+00	+8.5254258494e-01
+5.0000000000e-01	+0.0000000000e+00	+7.7859063092e-01
+6.0000000000e-01	+0.0000000000e+00	+6.9807457051e-01
+7.0000000000e-01	+0.0000000000e+00	+6.1261378090e-01
+8.0000000000e-01	+0.0000000000e+00	+5.2750764945e-01
+9.0000000000e-01	+0.0000000000e+00	+4.4482897298e-01
+1.0000000000e+00	+0.0000000000e+00	+3.6787944117e-01
+0.0000000000e+00	+1.0000000000e-01	+9.9004983375e-01
+1.0000000000e-01	+1.0000000000e-01	+9.8026443768e-01
+2.0000000000e-01	+1.0000000000e-01	+9.5132380541e-01
+3.0000000000e-01	+1.0000000000e-01	+9.0497455229e-01
+4.0000000000e-01	+1.0000000000e-01	+8.4393421042e-01
+5.0000000000e-01	+1.0000000000e-01	+7.7119685465e-01
+6.0000000000e-01	+1.0000000000e-01	+6.9095458452e-01
+7.0000000000e-01	+1.0000000000e-01	+6.0663869942e-01
+8.0000000000e-01	+1.0000000000e-01	+5.2214386298e-01
+9.0000000000e-01	+1.0000000000e-01	+4.4044705954e-01
+1.0000000000e+00	+1.0000000000e-01	+3.6421897957e-01
+0.0000000000e+00	+2.0000000000e-01	+9.6078943915e-01
+1.0000000000e-01	+2.0000000000e-01	+9.5139515672e-01
+2.0000000000e-01	+2.0000000000e-01	+9.2335560573e-01
+3.0000000000e-01	+2.0000000000e-01	+8.7836561248e-01
+4.0000000000e-01	+2.0000000000e-01	+8.1901317789e-01
+5.0000000000e-01	+2.0000000000e-01	+7.4848486578e-01
+6.0000000000e-01	+2.0000000000e-01	+6.7050170837e-01
+7.0000000000e-01	+2.0000000000e-01	+5.8871195608e-01
+8.0000000000e-01	+2.0000000000e-01	+5.0667340266e-01
+9.0000000000e-01	+2.0000000000e-01	+4.2742531470e-01
+1.0000000000e+00	+2.0000000000e-01	+3.5345468196e-01
+0.0000000000e+00	+3.0000000000e-01	+9.1393118527e-01
+1.0000000000e-01	+3.0000000000e-01	+9.0502442619e-01
+2.0000000000e-01	+3.0000000000e-01	+8.7836716677e-01
+3.0000000000e-01	+3.0000000000e-01	+8.3556139303e-01
+4.0000000000e-01	+3.0000000000e-01	+7.7906863877e-01
+5.0000000000e-01	+3.0000000000e-01	+7.1197703691e-01
+6.0000000000e-01	+3.0000000000e-01	+6.3776774599e-01
+7.0000000000e-01	+3.0000000000e-01	+5.5996824043e-01
+8.0000000000e-01	+3.0000000000e-01	+4.8192777936e-01
+9.0000000000e-01	+3.0000000000e-01	+4.0656162504e-01
+1.0000000000e+00	+3.0000000000e-01	+3.3621649371e-01
+0.0000000000e+00	+4.0000000000e-01	+8.5214378897e-01
+1.0000000000e-01	+4.0000000000e-01	+8.4383004893e-01
+2.0000000000e-01	+4.0000000000e-01	+8.1896952112e-01
+3.0000000000e-01	+4.0000000000e-01	+7.7904729118e-01
+4.0000000000e-01	+4.0000000000e-01	+7.2635892374e-01
+5.0000000000e-01	+4.0000000000e-01	+6.6379616059e-01
+6.0000000000e-01	+4.0000000000e-01	+5.9459617893e-01
+7.0000000000e-01	+4.0000000000e-01	+5.2205918773e-01
+8.0000000000e-01	+4.0000000000e-01	+4.4930323223e-01
+9.0000000000e-01	+4.0000000000e-01	+3.7905063377e-01
+1.0000000000e+00	+4.0000000000e-01	+3.1348618088e-01
+0.0000000000e+00	+5.0000000000e-01	+7.7880078307e-01
